peak,center,center_bits,inputs,hit_rate,status,sample_size,tree_depth,tree_size,notes
181,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
182,,,0,,NONE,80,0,0,"80 samples, no confluence"
183,,,0,,NONE,80,0,0,"80 samples, no confluence"
184,,,0,,NONE,80,0,0,"80 samples, no confluence"
185,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
186,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
187,3077,12,2,0.0250,NONE,80,0,0,sampling only (2%)
188,2051,12,6,0.0750,NONE,80,0,0,sampling only (8%)
189,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
190,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
191,37,6,5,0.0625,NONE,80,0,0,sampling only (6%)
192,,,0,,NONE,80,0,0,"80 samples, no confluence"
193,2051,12,5,0.0625,NONE,80,0,0,sampling only (6%)
194,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
195,53,6,2,0.0250,NONE,80,0,0,sampling only (2%)
196,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
197,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
198,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
199,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
200,,,0,,NONE,80,0,0,"80 samples, no confluence"
